rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
1	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.99213911668294	3.8332155742528	1000	360	600	1000	1000	360	706	0.64	0.294	7.14542087118642	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101000	0.6253	0.9797	0.773921533022519	-4.15581885733936	0.786357963158262	5.56661356075013	9.72243241808949	1.14921025301121	0.0519967027050821	1.15090341411042	2.25427141139624	2.20227470869116	0.563522825150732	0.786554384523638	-9.92404512922567	0.709012020624159	11.3407487484878	21.2647938777135	0.0712	0.9237	1.90099596429665	-0.752974284994576	1.96654392528276	4.22745556184087	4.98042984683544	0	NA	NA	NA	NA	NA	NA	1	-1.21821758366042	1.48405408113943	1	-0.842928863671729	0.710529069210913	1	-3.04666118972916	9.2821444050019	1	-1.93221960995614	3.73347262109907	1.00178227713637	4400.21045634953	0	1.00157806711896	10757.7279092558	0	NA	NA	NA	NA	NA	NA	NA	NA
2	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.85983403300217	3.49512362279183	1000	360	600	1000	1000	360	720	0.64	0.28	6.83192058101798	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101001	0.6399	0.9982	0.945277377197968	-4.33396854287975	0.990937339258048	6.12291833224357	10.4568868751233	1.64840189408913	0.603408041757267	1.64651852800228	2.70716008063208	2.10375203887481	0.584272097053726	1.16014275334432	-9.98500738532838	1.10688261010912	12.166518147626	22.1515255329544	0.0768	0.9978	3.10408615961327	0.914374304525596	3.09060441232037	5.37910365174758	4.46472934722199	0	NA	NA	NA	NA	NA	NA	1	-0.914556655804201	0.836413876675764	1	-0.211432138913043	0.0447035493653443	1	-2.33498086944751	5.45213566068587	1	-0.391037463178565	0.152910297609127	1.00146944483972	4772.66227339017	0	1.00186246442956	12113.6547715659	0	NA	NA	NA	NA	NA	NA	NA	NA
3	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.25610177929115	4.60429667610013	1000	360	600	1000	1000	360	690	0.64	0.31	7.63683515359829	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101002	0.7856	1	2.0247413601619	-3.01721895282528	2.09441766393686	6.85950729990548	9.87672625273075	2.81063791561121	1.7339452331853	2.80871247415123	3.87123247074041	2.13728723755511	0.681432715911627	2.37629356982887	-8.31350064917081	2.31001840879689	12.3728515896637	20.6863522388345	0.1038	1	5.72284202685594	3.72408112711375	5.69071746495955	7.75261454214915	4.0285334150354	0	NA	NA	NA	NA	NA	NA	1	-0.231360419129248	0.0535276435396614	1	0.554536136320061	0.307510326484781	1	-2.22800310627125	4.96399784155436	1	1.11854535075581	1.25114370169743	1.00163909105331	4456.48127634829	0	1.00123939319222	10415.0780357719	0	NA	NA	NA	NA	NA	NA	NA	NA
5	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.7958514528113	3.45428085194305	1000	360	600	1000	1000	360	718	0.64	0.282	6.96572447528289	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101004	0.6485	0.9955	1.05961082927963	-4.45110828923969	1.063613004538	6.46861749925521	10.9197257884949	1.41980569906501	0.338309611308316	1.42193569912116	2.47667855910093	2.13836894779261	0.591523207670516	1.31215995294304	-10.2462372164974	1.22187625891981	12.2650944906221	22.5113317071195	0.0822	0.9897	2.68766116708081	0.408647694569259	2.60379592836372	5.376703973458	4.96805627888874	0	NA	NA	NA	NA	NA	NA	1	-0.736240623531668	0.542050255738299	1	-0.376045753746288	0.141410408910614	1	-2.14212089900002	4.58868194593263	1	-0.766619684862244	0.587705741218286	1.00109193815885	4517.66321651699	0	1.00212067030297	12686.5761922335	0	NA	NA	NA	NA	NA	NA	NA	NA
4	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.00638171509358	3.94078468728156	1000	360	600	1000	1000	360	717	0.64	0.283	6.66544445745169	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101003	0.7673	1	2.02560098398355	-3.33956864087519	2.06446473726683	7.15872558643999	10.4982942273152	2.90184415660018	1.83634674956023	2.90582871077506	3.94096045776284	2.10461370820261	0.705556159617266	2.88985187673407	-7.95623822260189	2.70479191155202	13.5163417435186	21.4725799661205	0.0803	1	5.88082864626308	3.81828950833445	5.93245419872938	7.75756809175237	3.93927858341792	0	NA	NA	NA	NA	NA	NA	1	0.0192192688899726	0.000369380296665069	1	0.8954624415066	0.801852984148962	1	-1.05093281054749	1.10445977228525	1	1.94004395898152	3.76377056278068	1.00176691346867	4231.15818995345	0	1.00160424881605	12131.4090416275	0	NA	NA	NA	NA	NA	NA	NA	NA
6	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.27418134774063	4.04526729294162	1000	360	600	1000	1000	360	714	0.64	0.286	7.21019957552146	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101005	0.6567	0.9974	0.975599167985365	-3.80368718221396	0.994677045990994	5.76239946413074	9.5660866463447	1.51351690373916	0.432068837101374	1.52145820702077	2.58678590977529	2.15471707267391	0.596875	1.26351253698486	-9.34590880982425	1.09383634982783	11.7007887463	21.0466975561242	0.072	0.9868	2.40983062646288	0.281208764698589	2.40007579600679	4.63020209445745	4.34899332975886	0	NA	NA	NA	NA	NA	NA	1	-1.29858217975526	1.68631567757793	1	-0.760664444001471	0.578610396368067	1	-2.78175475595676	7.73815952228805	1	-1.63543666647874	2.67465309006309	1.00248175875041	4675.84149925362	0	1.00140575336818	14150.6613970137	0	NA	NA	NA	NA	NA	NA	NA	NA
7	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.55802642259081	2.86834318483647	1000	360	600	1000	1000	360	704	0.64	0.296	7.3923475432215	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101006	0.5846	0.9613	0.530542821797523	-4.41042478669653	0.567746700568319	5.42606488928647	9.836489675983	0.969864799314501	-0.0890208388043229	0.970246123428703	2.01697162822424	2.10599246702857	0.559799760583306	0.732077714212168	-10.0850825816233	0.703651772340294	11.1687270139671	21.2538095955904	0.0811	0.9263	1.91490309242115	-0.724659267959784	1.94838242550666	4.4467252456491	5.17138451360889	0	NA	NA	NA	NA	NA	NA	1	-1.02748360079329	1.05572254989914	1	-0.588161623276311	0.345934095095026	1	-2.1362654706243	4.56363016098167	1	-0.953440092415321	0.909048009824937	1.00159326398593	4376.40347670995	0	1.00138167552091	10915.381699101	0	NA	NA	NA	NA	NA	NA	NA	NA
8	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.30602691636509	4.34980712518432	1000	360	600	1000	1000	360	738	0.64	0.262	7.49042391064303	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101007	0.8512	1	2.74252533856081	-2.37160483263149	2.81955023771705	7.55280754550559	9.92441237813708	3.3036322698793	2.26919535874026	3.30825594368635	4.30328823926444	2.03409288052418	0.789580743586846	3.84328509743781	-6.29254797761056	3.68156361665846	13.6022141628926	19.8947621405032	0.1151	1	5.38017078857924	3.40507070871625	5.36319496255347	7.47317771590584	4.06810700718958	0	NA	NA	NA	NA	NA	NA	1	0.436498422195716	0.190530872579349	1	0.997605353514209	0.995216441360209	1	-0.506522027746505	0.256564564592431	1	1.03036366339492	1.0616492788446	1.00132191154839	4486.57094468317	0	1.00101986902926	12085.5849324297	0	NA	NA	NA	NA	NA	NA	NA	NA
9	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.33472318878014	4.5116130278713	1000	360	600	1000	1000	360	705	0.64	0.295	8.32465909743125	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101008	0.7791	1	1.85740830821226	-2.93182354176395	1.90161844007409	6.49477646769892	9.42660000946287	2.74052264211104	1.65971505669001	2.74525999056249	3.81908812515314	2.15937306846314	0.652863335614876	2.02054847815412	-8.09901708427053	1.95138102495314	11.6801470715079	19.7791641557785	0.1234	1	5.12510618191916	2.58015547414475	5.03718043037396	8.47554757596255	5.8953921018178	0	NA	NA	NA	NA	NA	NA	1	-0.477314880567876	0.227829495211526	1	0.405799453330902	0.164673196323659	1	-2.49106454971717	6.20540259085762	1	0.613493154047867	0.3763738500636	1.00162115143955	4858.98558183768	0	1.00330258414043	11308.2951772687	0	NA	NA	NA	NA	NA	NA	NA	NA
10	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.29747502422681	4.84102264248217	1000	360	600	1000	1000	360	726	0.64	0.274	7.47221339308611	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101009	0.7226	1	1.47699397012352	-3.56696057936377	1.49037866898392	6.34111388196426	9.90807446132803	2.33517380588784	1.29951590210621	2.33688567448754	3.352289358871	2.05277345676479	0.630801687763713	1.70717641973027	-9.19080258091941	1.53957642141558	12.1408874896634	21.3316900705828	0.0994	1	4.55864099177449	2.68557916591207	4.61455839583606	6.15257122663421	3.46699206072214	0	NA	NA	NA	NA	NA	NA	1	-0.820481054103289	0.673189160142445	1	0.0376987816610335	0.00142119813872627	1	-3.1338462227519	9.82099214785633	1	-0.282381650707673	0.07973939665639	1.00138411102305	4618.3401808779	0	1.00156756483751	11095.8152789889	0	NA	NA	NA	NA	NA	NA	NA	NA
